,Unnamed: 0,district,complex_name,rental_period,use_type,building_type,floor,layout,sqmeters,address,price,amenities,descript,address_translate
6727,6727,静安-静安寺,又一村,长租,住宅/工作室,老公房,*/5层,3室1厅1卫,100平米,常德路底层带院子路519弄1号又一村,12000.0,"['暖气', '浴缸', '户外空间', '', '', '独卫', '阳台', 'WIFI']","['静安寺3房', '临近地铁地址', '常德路519弄7号103室房型', '3房1厅1卫', '钥匙在门口密码盒', '面积', '100平带花园价格', '12000元', '月', 'font', 'face', 'font', 'family', 'Times', 'New', 'Roman', 'font', 'face', 'font', 'family', '宋体', 'font', 'face', 'font', 'family', 'Calibri', 'p', 'MsoNormal', 'mso', 'style', 'name', '正文', 'mso', 'style', 'parent', 'margin', '0pt', 'margin', 'bottom', '0001pt', 'mso', 'pagination', 'none', 'text', 'align', 'justify', 'text', 'justify', 'inter', 'ideograph', 'font', 'family', 'Calibri', 'mso', 'fareast', 'font', 'family', '宋体', 'mso', 'bidi', 'font', 'family', 'Times', 'New', 'Roman', 'font', 'size', '10', '5000pt', 'mso', 'font', 'kerning', '1', '0000pt', 'span', 'msoIns', 'mso', 'style', 'type', 'export', 'only', 'mso', 'style', 'name', 'text', 'decoration', 'underline', 'text', 'underline', 'single', 'color', 'blue', 'span', 'msoDel', 'mso', 'style', 'type', 'export', 'only', 'mso', 'style', 'name', 'text', 'decoration', 'line', 'through', 'color', 'red', 'page', 'mso', 'page', 'border', 'surround', 'header', 'no', 'mso', 'page', 'border', 'surround', 'footer', 'no', 'page', 'Section0', 'div', 'Section0', 'page', 'Section0', '看房联系', '王先生']",常德路底层带院子路519弄1号
6728,6728,徐汇-老法租界,,长租,住宅,老洋房,*/3层,1室1厅1卫,35平米,襄阳南路357弄351号357栋,6000.0,"['户外空间', '', '独卫', '空调', '阳台']",['钥匙在襄阳南路361号'],襄阳南路357弄351号
6731,6731,长宁-中山公园,长新小区,长租,住宅,老公房,整栋,1室0厅1卫,30平米,长宁路405弄7号长新小区,5200.0,"['', '空调', '独卫', 'WIFI', '暖气', '户外空间', '']","['长宁江苏路地铁站', '精装1室户整租', '长宁路405弄5楼朝东', '30平米', '步行至地铁2', '11', '线江苏路站5分钟', '3', '4', '地铁中山公园站7分钟', '房间采光通风好', '安静整洁', '房东直租', '非中介']",长宁路405弄7号
6732,6732,静安-南京西路,常德路,长租,住宅,老公房,*/5层,3室1厅1卫,100平米,静安寺3房带天井南北通透路233号234栋常德路,12000.0,"['户外空间', '', '空调', '独卫', '阳台']","['静安寺3房', '临近地铁地址', '常德路519弄7号103室房型', '3房1厅1卫', '钥匙在门口密码盒', '面积', '100平带花园价格', '12000元', '月', 'font', 'face', 'font', 'family', 'Times', 'New', 'Roman', 'font', 'face', 'font', 'family', '宋体', 'font', 'face', 'font', 'family', 'Calibri', 'p', 'MsoNormal', 'mso', 'style', 'name', '正文', 'mso', 'style', 'parent', 'margin', '0pt', 'margin', 'bottom', '0001pt', 'mso', 'pagination', 'none', 'text', 'align', 'justify', 'text', 'justify', 'inter', 'ideograph', 'font', 'family', 'Calibri', 'mso', 'fareast', 'font', 'family', '宋体', 'mso', 'bidi', 'font', 'family', 'Times', 'New', 'Roman', 'font', 'size', '10', '5000pt', 'mso', 'font', 'kerning', '1', '0000pt', 'span', 'msoIns', 'mso', 'style', 'type', 'export', 'only', 'mso', 'style', 'name', 'text', 'decoration', 'underline', 'text', 'underline', 'single', 'color', 'blue', 'span', 'msoDel', 'mso', 'style', 'type', 'export', 'only', 'mso', 'style', 'name', 'text', 'decoration', 'line', 'through', 'color', 'red', 'page', 'mso', 'page', 'border', 'surround', 'header', 'no', 'mso', 'page', 'border', 'surround', 'footer', 'no', 'page', 'Section0', 'margin', 'top', '72', '0000pt', 'margin', 'bottom', '72', '0000pt', 'margin', 'left', '90', '0000pt', 'margin', 'right', '90', '0000pt', 'size', '595', '3000pt', '841', '9000pt', 'layout', 'grid', '15', '6000pt', 'div', 'Section0', 'page', 'Section0', '看房联系', '王先生']",静安寺3房带天井南北通透路233号
6733,6733,黄浦-淮海中路,宁海东路,长租,住宅,老洋房,*/3层,1室1厅1卫,20平米,南京东路淮海东路精装小户型路888弄666号宁海东路,3600.0,"['空调', '独卫', '', '阳台']","['南京东路', '淮海东路', '精装小户型地址', '宁海东路41号301室房型', '1房1厨1卫面积', '20平', '看房晚上6点以后', '价格', '3600元', '月联系', '王先生', 'font', 'face', 'font', 'family', 'Times', 'New', 'Roman', 'font', 'face', 'font', 'family', '宋体', 'font', 'face', 'font', 'family', 'Calibri', 'p', 'MsoNormal', 'mso', 'style', 'name', '正文', 'mso', 'style', 'parent', 'margin', '0pt', 'margin', 'bottom', '0001pt', 'mso', 'pagination', 'none', 'text', 'align', 'justify', 'text', 'justify', 'inter', 'ideograph', 'font', 'family', 'Calibri', 'mso', 'fareast', 'font', 'family', '宋体', 'mso', 'bidi', 'font', 'family', 'Times', 'New', 'Roman', 'font', 'size', '10', '5000pt', 'mso', 'font', 'kerning', '1', '0000pt', 'span', 'msoIns', 'mso', 'style', 'type', 'export', 'only', 'mso', 'style', 'name', 'text', 'decoration', 'underline', 'text', 'underline', 'single', 'color', 'blue', 'span', 'msoDel', 'mso', 'style', 'type', 'export', 'only', 'mso', 'style', 'name', 'text', 'decoration', 'line', 'through', 'color', 'red', 'page', 'mso', 'page', 'border', 'surround', 'header', 'no', 'mso', 'page', 'border', 'surround', 'footer', 'no', 'page', 'Section0', 'margin', 'top', '36', '0000pt', 'margin', 'bottom', '36', '0000pt', 'margin', 'left', '36', '0000pt', 'margin', 'right', '36', '0000pt', 'size', '595', '3000pt', '841', '9000pt', 'layout', 'grid', '15', '6000pt', 'div', 'Section0', 'page', 'Section0', '想居出品']",南京东路淮海东路精装小户型路888弄666号
6734,6734,静安-静安寺,新闸路,长租,住宅/工作室,老公房,*/2层,3室1厅1卫,100平米,新闸路常德路大三房底层有院子路888号22栋新闸路,12000.0,"['户外空间', '', '', '空调', '独卫']","['静安寺3房', '临近地铁地址', '常德路519弄7号103室房型', '3房1厅1卫', '钥匙在门口密码盒', '面积', '100平带花园价格', '12000元', '月', 'font', 'face', 'font', 'family', 'Times', 'New', 'Roman', 'font', 'face', 'font', 'family', '宋体', 'font', 'face', 'font', 'family', 'Calibri', 'p', 'MsoNormal', 'mso', 'style', 'name', '正文', 'mso', 'style', 'parent', 'margin', '0pt', 'margin', 'bottom', '0001pt', 'mso', 'pagination', 'none', 'text', 'align', 'justify', 'text', 'justify', 'inter', 'ideograph', 'font', 'family', 'Calibri', 'mso', 'fareast', 'font', 'family', '宋体', 'mso', 'bidi', 'font', 'family', 'Times', 'New', 'Roman', 'font', 'size', '10', '5000pt', 'mso', 'font', 'kerning', '1', '0000pt', 'span', 'msoIns', 'mso', 'style', 'type', 'export', 'only', 'mso', 'style', 'name', 'text', 'decoration', 'underline', 'text', 'underline', 'single', 'color', 'blue', 'span', 'msoDel', 'mso', 'style', 'type', 'export', 'only', 'mso', 'style', 'name', 'text', 'decoration', 'line', 'through', 'color', 'red', 'page', 'mso', 'page', 'border', 'surround', 'header', 'no', 'mso', 'page', 'border', 'surround', 'footer', 'no', 'page', 'Section0', 'div', 'Section0', 'page', 'Section0', '看房联系', '王先生']",新闸路常德路大三房底层有院子路888号
6737,6737,浦东-潍坊,潍坊二村,长租,住宅,老公房,*/6层,2室1厅1卫,35平米,浦东南路1475号73栋潍坊二村,6000.0,"['户外空间', '', '', '空调', '独卫', '阳台']",['房源真实在出租欢迎来看'],浦东南路1475号
6738,6738,浦东-陆家嘴,乳山三村,长租,住宅,新式里弄,*/6层,1室2厅1卫,52平米,乳山路315号1栋乳山三村,7500.0,"['户外空间', '', '', '独卫', '空调', '阳台']","['房源真实在出租', '欢迎实地来看房子1']",乳山路315号
6741,6741,闸北-西藏北路,虬江路1000号,长租,住宅,,*/22层,1室1厅1卫,49平米,虬江路1000号虬江路1000号,6367.0,"['暖气', 'WIFI', '浴缸', '', '空调', '独卫']","['优惠活动', '首月优惠3775元', '免费健身房', '另外租一年免半个月', '另享年付95折优惠', '可随时看房', '拎包入住', '室内超大公区', '房间超大落地窗外就是上海标志性建筑', '浦东三件套', '免费健身房', '台球室', '影音区', '多彩社区活动', '乐享休闲时光', '朗诗寓是朗诗集团旗下长租公寓品牌', '为独栋建筑', '专享电梯', '指纹入户', '24H安保的中高端公寓', '私人管家专业服务', '品质服务', '1', '全新的家具家电齐全', '智能门锁', '24小时热水', '独立卫浴干湿分离', '并且拥有顶楼露天花园', '让您足不出户就能将上海CBD景色尽收眼底', '2', '公寓采用管家式服务', '24小时安保', '电梯采用梯控装置', '房间配备智能门锁', '保证安全与隐私', '为您打造全新的居住模式和高品质的租住生活', '交通及配套设施', '1', '交通出行', '离3', '4号线宝山路站步行3分钟', '八号线中兴路站步行8分钟', '10号线四川北路站步行10分钟', '2', '配套设施', '靠近周边配套设施齐全', '距离集美食与娱乐于一体的大悦城步行仅需十分钟', '七浦路', '875m东宝百货', '1', '1km', '永辉生活', '鸿兴路店', '364m万佳商厦803m', '距人民广场仅有两公里左右', '工作', '生活', '娱乐', '休闲都可以步行抵达']",虬江路1000号
6747,6747,宝山-淞南,乐活家公寓,长租,住宅/工作室,,*/3层,1室1厅1卫,25平米,逸仙路3718号乐活家公寓,2750.0,"['户外空间', '', '', '空调', '独卫', '阳台', 'WIFI']",[],逸仙路3718号
